18.747,18.604,18.604,0.0583
18.913,18.771,18.723,0.0583
19.246,19.103,18.961,0.0583
19.508,19.318,19.175,0.0583
19.817,19.627,19.46,0.0583
20.222,20.055,19.793,0.0583
20.484,20.246,20.055,0.0583
20.817,20.603,20.436,0.0583
21.151,20.984,20.817,0.0583
21.413,21.223,21.127,0.0583
21.557,21.342,21.413,0.0583
21.724,21.581,21.724,0.0583
21.963,21.843,22.011,0.0583
21.915,21.748,22.106,0.0583
21.939,21.795,22.274,0.0583
21.987,21.867,22.393,0.0583
22.13,22.034,22.537,0.0583
21.987,21.843,22.489,0.0583
21.891,21.748,22.465,0.0583
21.963,21.867,22.561,0.0583
22.034,21.963,22.633,0.0583
21.819,21.676,22.513,0.0583
21.676,21.557,22.441,0.0583
21.628,21.581,22.441,0.0583
21.581,21.557,22.417,0.0583
21.246,21.175,22.202,0.0583
20.984,20.913,22.011,0.0583
20.841,20.841,21.891,0.0583
20.77,20.77,21.772,0.0583
20.484,20.436,21.485,0.0583
20.269,20.246,21.294,0.0583
20.126,20.103,21.103,0.0583
20.126,20.103,20.984,0.0583
20.031,19.96,20.746,0.0583
19.984,19.841,20.603,0.0583
20.103,19.936,20.531,0.0583
20.341,20.198,20.555,0.0583
20.46,20.269,20.555,0.0583
20.674,20.46,20.698,0.0583
21.008,20.793,20.913,0.0583
21.39,21.199,21.199,0.0583
21.676,21.485,21.485,0.0583
21.604,21.413,21.628,0.0583
21.628,21.509,21.843,0.0583
21.604,21.533,21.987,0.0583
21.581,21.557,22.082,0.0583
21.437,21.366,22.082,0.0583
21.127,21.056,21.963,0.0583
20.984,20.96,21.915,0.0583
20.889,20.913,21.795,0.0583
20.817,20.841,21.7,0.0583
20.507,20.46,21.437,0.0583
20.293,20.246,21.223,0.0583
20.15,20.15,21.079,0.0583
20.055,20.055,20.936,0.0583
19.912,19.888,20.746,0.0583
19.698,19.627,20.531,0.0583
19.722,19.651,20.412,0.0583
19.817,19.722,20.341,0.0583
20.031,19.936,20.317,0.0583
20.15,19.96,20.293,0.0583
20.293,20.079,20.341,0.0583
20.603,20.436,20.555,0.0583
20.984,20.793,20.793,0.0583
21.366,21.175,21.079,0.0583
21.39,21.151,21.223,0.0583
21.509,21.318,21.485,0.0583
21.652,21.533,21.748,0.0583
21.7,21.604,21.963,0.0583
21.724,21.676,22.082,0.0583
21.652,21.604,22.154,0.0583
21.342,21.246,22.034,0.0583
21.223,21.199,22.034,0.0583
21.103,21.079,21.939,0.0583
21.032,21.032,21.867,0.0583
20.913,20.913,21.748,0.0583
20.77,20.77,21.604,0.0583
20.412,20.365,21.342,0.0583
20.269,20.222,21.199,0.0583
20.174,20.174,21.056,0.0583
20.126,20.103,20.936,0.0583
20.174,20.126,20.841,0.0583
20.222,20.126,20.722,0.0583
20.15,19.984,20.555,0.0583
20.317,20.15,20.579,0.0583
20.579,20.388,20.674,0.0583
20.913,20.722,20.841,0.0583
21.246,21.056,21.056,0.0583
21.413,21.151,21.175,0.0583
21.581,21.342,21.413,0.0583
21.795,21.604,21.724,0.0583
21.963,21.867,22.034,0.0583
22.011,21.915,22.202,0.0583
21.939,21.843,22.321,0.0583
21.652,21.557,22.298,0.0583
21.461,21.39,22.298,0.0583
21.342,21.342,22.25,0.0583
21.223,21.246,22.154,0.0583
21.032,21.079,22.011,0.0583
20.889,20.913,21.867,0.0583
20.746,20.77,21.724,0.0583
20.531,20.579,21.509,0.0583
20.341,20.365,21.294,0.0583
20.174,20.198,21.103,0.0583
20.079,20.079,20.936,0.0583
20.055,20.007,20.746,0.0583
20.126,20.031,20.627,0.0583
20.222,20.103,20.531,0.0583
20.436,20.293,20.555,0.0583
20.722,20.531,20.65,0.0583
21.032,20.841,20.817,0.0583
21.39,21.175,21.032,0.0583
21.724,21.485,21.318,0.0583
22.034,21.819,21.604,0.0583
22.298,22.106,21.915,0.0583
22.393,22.25,22.25,0.0583
22.465,22.345,22.489,0.0583
22.513,22.393,22.657,0.0583
22.489,22.393,22.776,0.0583
22.417,22.321,22.824,0.0583
22.321,22.25,22.848,0.0583
22.13,22.082,22.8,0.0583
21.915,21.891,22.729,0.0583
21.7,21.676,22.609,0.0583
21.461,21.461,22.417,0.0583
21.27,21.294,22.274,0.0583
21.056,21.079,22.058,0.0583
20.889,20.889,21.867,0.0583
20.746,20.722,21.676,0.0583
20.674,20.603,21.437,0.0583
20.722,20.627,21.294,0.0583
20.817,20.674,21.199,0.0583
21.008,20.841,21.199,0.0583
21.27,21.056,21.27,0.0583
21.557,21.342,21.413,0.0583
21.867,21.628,21.652,0.0583
22.154,21.915,21.867,0.0583
22.393,22.202,22.154,0.0583
22.537,22.393,22.441,0.0583
22.585,22.489,22.681,0.0583
22.465,22.393,22.824,0.0583
22.274,22.226,22.848,0.0583
22.082,22.058,22.848,0.0583
21.867,21.867,22.753,0.0583
21.604,21.628,22.609,0.0583
21.366,21.39,22.441,0.0583
21.103,21.151,22.25,0.0583
20.889,20.936,22.034,0.0583
20.674,20.722,21.795,0.0583
20.436,20.46,21.557,0.0583
20.15,20.198,21.27,0.0583
19.888,19.912,20.96,0.0583
19.77,19.746,20.722,0.0583
19.722,19.674,20.507,0.0583
19.817,19.746,20.365,0.0583
19.984,19.865,20.293,0.0583
20.174,20.031,20.269,0.0583
20.46,20.269,20.365,0.0583
20.698,20.484,20.46,0.0583
20.984,20.746,20.627,0.0583
21.246,20.984,20.841,0.0583
21.628,21.342,21.127,0.0583
21.963,21.676,21.437,0.0583
22.298,22.011,21.772,0.0583
22.513,22.274,22.082,0.0583
22.609,22.441,22.369,0.0583
22.657,22.489,22.633,0.0583
22.585,22.489,22.8,0.0583
22.465,22.393,22.872,0.0583
22.274,22.226,22.872,0.0583
22.082,22.034,22.824,0.0583
21.819,21.795,22.705,0.0583
21.557,21.581,22.537,0.0583
21.27,21.294,22.321,0.0583
20.96,20.984,22.082,0.0583
20.77,20.817,21.867,0.0583
20.698,20.674,21.652,0.0583
20.698,20.603,21.437,0.0583
20.746,20.603,21.294,0.0583
20.889,20.698,21.199,0.0583
21.079,20.817,21.127,0.0583
21.318,21.032,21.199,0.0583
21.557,21.246,21.318,0.0583
21.843,21.533,21.485,0.0583
22.13,21.795,21.7,0.0583
22.417,22.082,21.939,0.0583
22.561,22.25,22.202,0.0583
22.609,22.369,22.441,0.0583
22.609,22.441,22.681,0.0583
22.513,22.393,22.753,0.0583
22.393,22.321,22.848,0.0583
22.178,22.13,22.824,0.0583
21.867,21.915,22.729,0.0583
21.581,21.676,22.609,0.0583
21.294,21.413,22.465,0.0583
20.96,21.079,22.226,0.0583
20.698,20.841,21.987,0.0583
20.436,20.603,21.748,0.0583
20.222,20.365,21.509,0.0583
20.031,20.126,21.27,0.0583
19.912,19.912,20.984,0.0583
19.96,19.841,20.746,0.0583
20.079,19.841,20.555,0.0583
20.246,19.912,20.46,0.0583
20.46,20.079,20.412,0.0583
20.627,20.246,20.436,0.0583
20.746,20.365,20.507,0.0583
20.817,20.484,20.627,0.0583
20.889,20.579,20.746,0.0583
20.889,20.627,20.865,0.0583
20.913,20.674,20.96,0.0583
20.913,20.698,21.056,0.0583
20.889,20.698,21.103,0.0583
20.865,20.698,21.151,0.0583
20.841,20.698,21.175,0.0583
20.77,20.627,21.151,0.0583
20.722,20.579,21.151,0.0583
20.65,20.531,21.127,0.0583
20.579,20.46,21.079,0.0583
20.555,20.436,21.079,0.0583
20.507,20.388,21.032,0.0583
20.531,20.365,20.96,0.0583
20.603,20.365,20.913,0.0583
20.698,20.412,20.865,0.0583
20.793,20.507,20.889,0.0583
20.865,20.579,20.913,0.0583
20.936,20.65,20.984,0.0583
20.96,20.698,21.056,0.0583
20.96,20.746,21.127,0.0583
20.936,20.746,21.151,0.0583
20.936,20.746,21.175,0.0583
20.936,20.77,21.246,0.0583
20.865,20.698,21.223,0.0583
20.817,20.65,21.199,0.0583
20.722,20.579,21.175,0.0583
20.65,20.531,21.127,0.0583
20.579,20.46,21.103,0.0583
20.507,20.388,21.056,0.0583
20.46,20.341,21.008,0.0583
20.484,20.293,20.936,0.0583
20.555,20.317,20.889,0.0583
20.65,20.365,20.841,0.0583
20.722,20.412,20.841,0.0583
20.793,20.484,20.865,0.0583
20.817,20.555,20.913,0.0583
20.841,20.579,20.984,0.0583
20.817,20.603,21.032,0.0583
20.793,20.603,21.079,0.0583
20.77,20.579,21.079,0.0583
20.722,20.555,21.079,0.0583
20.674,20.507,21.079,0.0583
20.603,20.484,21.056,0.0583
20.555,20.412,21.032,0.0583
20.484,20.365,21.008,0.0583
20.388,20.269,20.936,0.0583
20.317,20.198,20.889,0.0583
20.293,20.126,20.817,0.0583
20.341,20.103,20.746,0.0583
20.412,20.126,20.698,0.0583
20.507,20.222,20.674,0.0583
20.603,20.293,20.698,0.0583
20.65,20.388,20.746,0.0583
20.674,20.436,20.817,0.0583
20.722,20.484,20.865,0.0583
20.698,20.484,20.913,0.0583
20.65,20.46,20.936,0.0583
20.603,20.436,20.96,0.0583
20.555,20.388,20.936,0.0583
20.484,20.341,20.936,0.0583
20.412,20.293,20.913,0.0583
20.341,20.222,20.865,0.0583
20.269,20.15,20.817,0.0583
20.198,20.079,20.77,0.0583
20.174,20.031,20.722,0.0583
20.198,20.007,20.65,0.0583
20.293,20.031,20.603,0.0583
20.412,20.103,20.579,0.0583
20.484,20.198,20.603,0.0583
20.555,20.269,20.65,0.0583
20.579,20.317,20.674,0.0583
20.603,20.365,20.746,0.0583
20.579,20.388,20.793,0.0583
20.555,20.365,20.817,0.0583
20.531,20.341,20.841,0.0583
20.698,20.341,20.865,0.0583
20.841,20.46,20.865,0.0583
20.841,20.484,20.841,0.0583
20.77,20.436,20.817,0.0583
20.698,20.388,20.793,0.0583
20.65,20.341,20.77,0.0583
20.841,20.365,20.722,0.0583
21.175,20.555,20.65,0.0583
21.485,20.817,20.65,0.0583
21.581,20.96,20.65,0.0583
21.557,21.008,20.698,0.0583
21.509,21.032,20.77,0.0583
21.437,20.96,20.817,0.0583
21.366,20.936,20.889,0.0583
21.318,20.889,20.936,0.0583
21.246,20.841,20.96,0.0583
21.175,20.793,20.984,0.0583
21.079,20.722,20.96,0.0583
21.008,20.65,20.96,0.0583
20.936,20.579,20.936,0.0583
20.793,20.484,20.889,0.0583
